player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
832ba464-b928-4768-aae6-ec30614c1097,Antonio Shalfoon,4,Crusaders,2024,27,65,36,29,0,5,0,141,0,1,0,3,0,0,28,2,0,18,18,4,1,1,15,1
71ac6473-ca87-41a4-afa8-83438af70806,Anzelo Tuitavuki,15,Moana Pasifika,2024,32,9,5,4,0,0,0,21,1,1,0,2,0,0,0,2,0,4,45,3,0,0,3,0
71ac6473-ca87-41a4-afa8-83438af70806,Anzelo Tuitavuki,14,Moana Pasifika,2024,6,3,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,3,13,3,0,0,3,0
71ac6473-ca87-41a4-afa8-83438af70806,Anzelo Tuitavuki,13,Moana Pasifika,2024,8,8,4,3,0,0,0,18,0,0,0,1,0,0,0,0,0,4,26,1,1,0,3,0
71ac6473-ca87-41a4-afa8-83438af70806,Anzelo Tuitavuki,11,Moana Pasifika,2024,32,28,15,13,0,0,0,62,0,1,0,4,0,0,1,1,0,6,51,4,0,0,5,0
46abdffa-3a08-46b0-97f0-f36be91e7e7d,Apisalome Vota,12,Fijian Drua,2024,153,183,94,90,1,0,0,448,1,2,0,15,1,0,55,11,3,52,180,13,7,4,37,1
0b7e9792-a3de-4f40-a1e4-ddadfeb0cb00,Asafo Aumua,2,Hurricanes,2024,172,222,113,111,0,5,3,484,3,3,0,24,0,0,74,6,5,36,220,21,6,4,21,1
d4e4fc79-b24e-498c-ade0-ae49ea64b0fa,Ayden Johnstone,1,Highlanders,2024,31,92,45,46,0,0,0,199,0,0,0,1,0,0,46,7,1,22,15,3,2,1,20,1
9ea9f2d0-6543-4b2e-b6e8-f2a9dc6d9959,Bailyn Sullivan,11,Hurricanes,2024,46,25,16,9,0,0,0,56,0,1,0,4,0,0,1,0,3,6,62,4,4,0,3,0
9ea9f2d0-6543-4b2e-b6e8-f2a9dc6d9959,Bailyn Sullivan,13,Hurricanes,2024,79,89,40,47,0,2,3,185,0,1,0,8,0,0,18,7,2,14,73,9,1,0,11,0
9ea9f2d0-6543-4b2e-b6e8-f2a9dc6d9959,Bailyn Sullivan,14,Hurricanes,2024,0,7,2,6,0,0,0,15,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
d8755410-2718-48be-90d7-d35b7d92f9bc,Bayley Kuenzle,13,Western Force,2024,110,204,97,108,1,12,1,480,4,8,5,8,0,3,57,11,4,43,323,22,7,0,28,2
d8755410-2718-48be-90d7-d35b7d92f9bc,Bayley Kuenzle,14,Western Force,2024,83,203,91,110,1,0,0,480,2,2,1,8,1,0,41,12,0,26,180,7,3,1,19,1
e0b35ae3-83b7-4f62-abe0-75d66d9ba9af,Ben Donaldson,10,Western Force,2024,322,437,197,239,4,0,0,1028,2,9,4,31,0,1,49,16,15,84,525,19,16,0,42,2
99021dca-d8ba-4659-9773-b188add3f84a,Ben Funnell,2,Western Force,2024,34,37,20,20,0,3,2,88,0,1,1,2,1,0,14,2,0,16,46,4,1,2,12,1
d154f8d0-24fc-4ab7-814b-690a31960e04,Ben Grant,5,Hurricanes,2024,34,54,25,30,0,0,0,118,0,1,1,2,0,0,22,2,1,9,46,3,1,0,6,0
d154f8d0-24fc-4ab7-814b-690a31960e04,Ben Grant,4,Hurricanes,2024,9,28,12,16,0,0,0,68,0,0,0,0,0,0,23,1,1,2,6,2,1,2,1,0
